id;type;coefficient;description
1;EXTRAVERSION_TYPE;54193;human-resource service-desk Handmade Plastic Ball
2;SPONTANEITY_TYPE;17223;Jewelery Keyboard
3;AGGRESSIVENESS_TYPE;85512;bifurcated
4;RIGIDITY_TYPE;15007;Granite digital Mill
5;INTROVERSION_TYPE;42927;Armenian Dram Web Intelligent Wooden Car
6;SENSITIVITY_TYPE;32030;Cotton Human Industrial
7;ANXIETY_TYPE;27014;Cross-platform Investment Account
8;LABILITY_TYPE;1193;incentivize parse
9;LIE_TYPE;7686;functionalities Handcrafted Plastic Towels mindshare
10;AGGRAVATION_TYPE;43093;Small Steel Table
